Rentrée scolaire;Région académique;Académie;Département;Commune;Numéro de l'école;Dénomination principale;Patronyme;Secteur;REP;REP +;Nombre total de classes;Nombre total d'élèves;Nombre d'élèves en pré-élémentaire hors ULIS;Nombre d'élèves en élémentaire hors ULIS;Nombre d'élèves en ULIS;Nombre d'élèves en CP hors ULIS;Nombre d'élèves en CE1 hors ULIS;Nombre d'élèves en CE2 hors ULIS;Nombre d'élèves en CM1 hors ULIS;Nombre d'élèves en CM2 hors ULIS;tri;Code Postal
2019;BRETAGNE;RENNES;ILLE-ET-VILAINE;LES PORTES DU COGLAIS;0351258C;ECOLE ELEMENTAIRE PRIVEE;STE MARIE;PRIVE;0;0;2;46;0;46;0;0;0;8;24;14;81-BRETAGNE-RENNES-ILLE-ET-VILAINE-LES PORTES DU COGLAIS-0351258C;35460
2019;BRETAGNE;RENNES;ILLE-ET-VILAINE;LES PORTES DU COGLAIS;0351429N;ECOLE ELEMENTAIRE PRIVEE;STE THERESE;PRIVE;0;0;2;43;0;43;0;22;13;8;0;0;81-BRETAGNE-RENNES-ILLE-ET-VILAINE-LES PORTES DU COGLAIS-0351429N;35460
2019;BRETAGNE;RENNES;ILLE-ET-VILAINE;LIEURON;0351073B;ECOLE PRIMAIRE PRIVEE;ST MELAINE;PRIVE;0;0;3;64;22;42;0;18;18;6;0;0;81-BRETAGNE-RENNES-ILLE-ET-VILAINE-LIEURON-0351073B;35550
2019;BRETAGNE;RENNES;ILLE-ET-VILAINE;LIFFRE;0350313A;ECOLE ELEMENTAIRE PUBLIQUE;JULES FERRY;PUBLIC;0;0;18;435;0;424;11;85;82;77;93;87;81-BRETAGNE-RENNES-ILLE-ET-VILAINE-LIFFRE-0350313A;35340
2019;BRETAGNE;RENNES;ILLE-ET-VILAINE;LIFFRE;0350953W;ECOLE MATERNELLE PUBLIQUE;ROBERT DESNOS;PUBLIC;0;0;9;241;241;0;0;0;0;0;0;0;81-BRETAGNE-RENNES-ILLE-ET-VILAINE-LIFFRE-0350953W;35340
2019;BRETAGNE;RENNES;ILLE-ET-VILAINE;LIFFRE;0351075D;ECOLE PRIMAIRE PRIVEE;STE CATHERINE ST JOSEPH;PRIVE;0;0;16;451;169;282;0;54;60;56;46;66;81-BRETAGNE-RENNES-ILLE-ET-VILAINE-LIFFRE-0351075D;35340
2019;BRETAGNE;RENNES;ILLE-ET-VILAINE;LIVRE-SUR-CHANGEON;0351661R;ECOLE PRIMAIRE PUBLIQUE;LES KORRIGANS;PUBLIC;0;0;8;172;66;106;0;18;20;25;19;24;81-BRETAGNE-RENNES-ILLE-ET-VILAINE-LIVRE-SUR-CHANGEON-0351661R;35450
2019;BRETAGNE;RENNES;ILLE-ET-VILAINE;LIVRE-SUR-CHANGEON;0351705N;ECOLE PRIMAIRE PRIVEE;NOTRE DAME;PRIVE;0;0;3;79;30;49;0;0;0;17;18;14;81-BRETAGNE-RENNES-ILLE-ET-VILAINE-LIVRE-SUR-CHANGEON-0351705N;35450
2019;BRETAGNE;RENNES;ILLE-ET-VILAINE;LOHEAC;0351078G;ECOLE PRIMAIRE PRIVEE;ST SAUVEUR;PRIVE;0;0;3;60;26;34;0;6;8;12;5;3;81-BRETAGNE-RENNES-ILLE-ET-VILAINE-LOHEAC-0351078G;35550
2019;BRETAGNE;RENNES;ILLE-ET-VILAINE;LOHEAC;0352310W;ECOLE PRIMAIRE PUBLIQUE;LES PANVOLETTES;PUBLIC;0;0;4;72;26;46;0;12;9;7;7;11;81-BRETAGNE-RENNES-ILLE-ET-VILAINE-LOHEAC-0352310W;35550
2019;BRETAGNE;RENNES;ILLE-ET-VILAINE;LOUVIGNE-DE-BAIS;0351083M;ECOLE PRIMAIRE PRIVEE;ST PATERN;PRIVE;0;0;5;109;40;69;0;16;5;19;15;14;81-BRETAGNE-RENNES-ILLE-ET-VILAINE-LOUVIGNE-DE-BAIS-0351083M;35680
2019;BRETAGNE;RENNES;ILLE-ET-VILAINE;LOUVIGNE-DE-BAIS;0351662S;ECOLE PRIMAIRE PUBLIQUE;CHARLES PERRAULT;PUBLIC;0;0;7;165;52;113;0;19;27;23;17;27;81-BRETAGNE-RENNES-ILLE-ET-VILAINE-LOUVIGNE-DE-BAIS-0351662S;35680
2019;BRETAGNE;RENNES;ILLE-ET-VILAINE;LOUVIGNE-DU-DESERT;0350323L;ECOLE PRIMAIRE PUBLIQUE;MARIE LE TENSORER;PUBLIC;0;0;8;169;71;98;0;15;22;20;17;24;81-BRETAGNE-RENNES-ILLE-ET-VILAINE-LOUVIGNE-DU-DESERT-0350323L;35420
2019;BRETAGNE;RENNES;ILLE-ET-VILAINE;LOUVIGNE-DU-DESERT;0352369K;ECOLE PRIMAIRE PRIVEE;NOTRE DAME DE JOVENCE;PRIVE;0;0;7;170;66;104;0;20;20;24;18;22;81-BRETAGNE-RENNES-ILLE-ET-VILAINE-LOUVIGNE-DU-DESERT-0352369K;35420
2019;BRETAGNE;RENNES;ILLE-ET-VILAINE;LUITRE-DOMPIERRE;0351286H;ECOLE ELEMENTAIRE PRIVEE;ST PIERRE;PRIVE;0;0;2;32;0;32;0;0;0;32;0;0;81-BRETAGNE-RENNES-ILLE-ET-VILAINE-LUITRE-DOMPIERRE-0351286H;35210
2019;BRETAGNE;RENNES;ILLE-ET-VILAINE;LUITRE-DOMPIERRE;0352195W;ECOLE PRIMAIRE PRIVEE;ST JOSEPH;PRIVE;0;0;5;123;65;58;0;0;0;0;30;28;81-BRETAGNE-RENNES-ILLE-ET-VILAINE-LUITRE-DOMPIERRE-0352195W;35133
2019;BRETAGNE;RENNES;ILLE-ET-VILAINE;MAEN ROCH;0350469V;ECOLE PRIMAIRE PUBLIQUE;JULES VERNE;PUBLIC;0;0;6;149;45;104;0;27;16;16;22;23;81-BRETAGNE-RENNES-ILLE-ET-VILAINE-MAEN ROCH-0350469V;35460
2019;BRETAGNE;RENNES;ILLE-ET-VILAINE;MAEN ROCH;0351028C;ECOLE ELEMENTAIRE PUBLIQUE;JACQUES PREVERT;PUBLIC;0;0;5;113;0;113;0;24;20;23;24;22;81-BRETAGNE-RENNES-ILLE-ET-VILAINE-MAEN ROCH-0351028C;35460
2019;BRETAGNE;RENNES;ILLE-ET-VILAINE;MAEN ROCH;0351361P;ECOLE PRIMAIRE PRIVEE;ST FRANCOIS;PRIVE;0;0;4;98;41;57;0;13;17;14;4;9;81-BRETAGNE-RENNES-ILLE-ET-VILAINE-MAEN ROCH-0351361P;35460
2019;BRETAGNE;RENNES;ILLE-ET-VILAINE;MAEN ROCH;0351550V;ECOLE PRIMAIRE PRIVEE;ANNE BOIVENT;PRIVE;0;0;10;245;83;162;0;25;34;37;34;32;81-BRETAGNE-RENNES-ILLE-ET-VILAINE-MAEN ROCH-0351550V;35460
2019;BRETAGNE;RENNES;ILLE-ET-VILAINE;MAEN ROCH;0351834D;ECOLE MATERNELLE PUBLIQUE;JACQUES PREVERT;PUBLIC;0;0;3;56;56;0;0;0;0;0;0;0;81-BRETAGNE-RENNES-ILLE-ET-VILAINE-MAEN ROCH-0351834D;35460
2019;BRETAGNE;RENNES;ILLE-ET-VILAINE;MARCILLE-RAOUL;0351663T;ECOLE ELEMENTAIRE PUBLIQUE;ECOLE PUBLIQUE;PUBLIC;1;0;4;77;0;77;0;0;4;20;30;23;81-BRETAGNE-RENNES-ILLE-ET-VILAINE-MARCILLE-RAOUL-0351663T;35560
2019;BRETAGNE;RENNES;ILLE-ET-VILAINE;MARCILLE-ROBERT;0350327R;ECOLE PRIMAIRE PUBLIQUE;LOUISE BELLAYS;PUBLIC;0;0;3;56;24;32;0;4;12;6;3;7;81-BRETAGNE-RENNES-ILLE-ET-VILAINE-MARCILLE-ROBERT-0350327R;35240
2019;BRETAGNE;RENNES;ILLE-ET-VILAINE;MARCILLE-ROBERT;0351091W;ECOLE PRIMAIRE PRIVEE;STE MARIE;PRIVE;0;0;2;49;14;35;0;12;6;17;0;0;81-BRETAGNE-RENNES-ILLE-ET-VILAINE-MARCILLE-ROBERT-0351091W;35240
2019;BRETAGNE;RENNES;ILLE-ET-VILAINE;MARPIRE;0351092X;ECOLE PRIMAIRE PRIVEE;ST JOSEPH;PRIVE;0;0;5;124;44;80;0;15;18;12;16;19;81-BRETAGNE-RENNES-ILLE-ET-VILAINE-MARPIRE-0351092X;35220
2019;BRETAGNE;RENNES;ILLE-ET-VILAINE;MARTIGNE-FERCHAUD;0352190R;ECOLE PRIMAIRE PUBLIQUE;LE JARDIN DES MOTS;PUBLIC;0;0;8;180;66;114;0;28;29;22;12;23;81-BRETAGNE-RENNES-ILLE-ET-VILAINE-MARTIGNE-FERCHAUD-0352190R;35640
2019;BRETAGNE;RENNES;ILLE-ET-VILAINE;MARTIGNE-FERCHAUD;0352442P;ECOLE PRIMAIRE PRIVEE;ST JEAN BAPTISTE DE LA SALLE;PRIVE;0;0;5;139;41;98;0;17;17;24;23;17;81-BRETAGNE-RENNES-ILLE-ET-VILAINE-MARTIGNE-FERCHAUD-0352442P;35640
2019;BRETAGNE;RENNES;ILLE-ET-VILAINE;MAXENT;0350332W;ECOLE PRIMAIRE PUBLIQUE;LES GALLO PEINTS;PUBLIC;0;0;4;94;37;57;0;9;14;10;13;11;81-BRETAGNE-RENNES-ILLE-ET-VILAINE-MAXENT-0350332W;35380
2019;BRETAGNE;RENNES;ILLE-ET-VILAINE;MAXENT;0351706P;ECOLE PRIMAIRE PRIVEE;ST JOSEPH;PRIVE;0;0;4;92;29;63;0;11;19;15;7;11;81-BRETAGNE-RENNES-ILLE-ET-VILAINE-MAXENT-0351706P;35380
2019;BRETAGNE;RENNES;ILLE-ET-VILAINE;MECE;0351099E;ECOLE PRIMAIRE PRIVEE;NOTRE DAME DES VERTUS;PRIVE;0;0;1;14;0;14;0;9;5;0;0;0;81-BRETAGNE-RENNES-ILLE-ET-VILAINE-MECE-0351099E;35450
2019;BRETAGNE;RENNES;ILLE-ET-VILAINE;MEDREAC;0350334Y;ECOLE PRIMAIRE PUBLIQUE;ECOLE DES SEPT LOUPS;PUBLIC;0;0;5;129;31;98;0;15;22;17;19;25;81-BRETAGNE-RENNES-ILLE-ET-VILAINE-MEDREAC-0350334Y;35360
2019;BRETAGNE;RENNES;ILLE-ET-VILAINE;MEDREAC;0352221Z;ECOLE PRIMAIRE PRIVEE;ST JOSEPH;PRIVE;0;0;4;79;32;47;0;10;9;6;15;7;81-BRETAGNE-RENNES-ILLE-ET-VILAINE-MEDREAC-0352221Z;35360
2019;BRETAGNE;RENNES;ILLE-ET-VILAINE;MEILLAC;0351664U;ECOLE PRIMAIRE PUBLIQUE;LA TRIBU ARC-EN-CIEL;PUBLIC;0;0;8;172;61;111;0;22;17;26;27;19;81-BRETAGNE-RENNES-ILLE-ET-VILAINE-MEILLAC-0351664U;35270
