code_region;libelle_region;code_academie;libelle_academie;code_departement;libelle_departement;code_postal;code_insee;libelle_commune;lieu_dit;Type_et_Libelle;No_de_voie_debut;Indice_de_repetition_debut;No_de_voie_fin;Indice_de_repetition_fin;Parite;Code_RNE;Secteur_unique
53;BRETAGNE;14;RENNES;035;ILLE-ET-VILAINE;35300;35115;Fougères;;RUE DES URBANISTES;1;;9999;;PI;0350967L;N
53;BRETAGNE;14;RENNES;035;ILLE-ET-VILAINE;35300;35115;Fougères;;RUE D OHIS;1;;9999;;PI;0350762N;N
53;BRETAGNE;14;RENNES;035;ILLE-ET-VILAINE;35300;35115;Fougères;;RUE DU BEFFROI;1;;9999;;PI;0350762N;N
53;BRETAGNE;14;RENNES;035;ILLE-ET-VILAINE;35300;35115;Fougères;;RUE DU CHAMP DU REGARD;1;;9999;;PI;0350967L;N
53;BRETAGNE;14;RENNES;035;ILLE-ET-VILAINE;35300;35115;Fougères;;RUE DU CLOS PICHON;1;;9999;;PI;0350762N;N
53;BRETAGNE;14;RENNES;035;ILLE-ET-VILAINE;35300;35115;Fougères;;RUE DU FOUR;1;;9999;;PI;0350762N;N
53;BRETAGNE;14;RENNES;035;ILLE-ET-VILAINE;35300;35115;Fougères;;RUE DU GENERAL CHANZY;1;;9999;;PI;0350967L;N
53;BRETAGNE;14;RENNES;035;ILLE-ET-VILAINE;35300;35115;Fougères;;RUE DU MOULIN DE CHAUDRON;1;;9999;;PI;0350762N;N
53;BRETAGNE;14;RENNES;035;ILLE-ET-VILAINE;35300;35115;Fougères;;RUE DU NANCON;1;;9999;;PI;0350762N;N
53;BRETAGNE;14;RENNES;035;ILLE-ET-VILAINE;35300;35115;Fougères;;RUE DU PERE LETAILLANDIER;1;;9999;;PI;0350762N;N
53;BRETAGNE;14;RENNES;035;ILLE-ET-VILAINE;35300;35115;Fougères;;RUE DU PERE MAUNOIR;1;;9999;;PI;0350762N;N
53;BRETAGNE;14;RENNES;035;ILLE-ET-VILAINE;35300;35115;Fougères;;RUE HIPPOLYTE REHAULT;1;;9999;;PI;0350762N;N
53;BRETAGNE;14;RENNES;035;ILLE-ET-VILAINE;35300;35115;Fougères;;RUE HOCHE;1;;9999;;PI;0350762N;N
53;BRETAGNE;14;RENNES;035;ILLE-ET-VILAINE;35300;35115;Fougères;;RUE JEAN JACQUES ROUSSEAU;2;;9999;;P;0350762N;N
53;BRETAGNE;14;RENNES;035;ILLE-ET-VILAINE;35300;35115;Fougères;;RUE JEAN LANGLAIS;1;;9999;;PI;0350967L;N
53;BRETAGNE;14;RENNES;035;ILLE-ET-VILAINE;35300;35115;Fougères;;RUE JULES FERRY;1;;9999;;PI;0350762N;N
53;BRETAGNE;14;RENNES;035;ILLE-ET-VILAINE;35300;35115;Fougères;;RUE JULIETTE DROUET;1;;9999;;PI;0350762N;N
53;BRETAGNE;14;RENNES;035;ILLE-ET-VILAINE;35300;35115;Fougères;;RUE LA PETITE BUTTE;1;;9999;;PI;0350967L;N
53;BRETAGNE;14;RENNES;035;ILLE-ET-VILAINE;35300;35115;Fougères;;RUE LOUIS BOURDON;1;;9999;;PI;0350967L;N
53;BRETAGNE;14;RENNES;035;ILLE-ET-VILAINE;35300;35115;Fougères;;RUE MADIOT;1;;9999;;PI;0350762N;N
53;BRETAGNE;14;RENNES;035;ILLE-ET-VILAINE;35300;35115;Fougères;;RUE MARIN MARIE;1;;9999;;PI;0350967L;N
53;BRETAGNE;14;RENNES;035;ILLE-ET-VILAINE;35300;35115;Fougères;;RUE MICHELINE OSTERMEYER;1;;9999;;PI;0350762N;N
53;BRETAGNE;14;RENNES;035;ILLE-ET-VILAINE;35300;35115;Fougères;;RUE PAUL FEVAL;2;;9999;;P;0350762N;N
53;BRETAGNE;14;RENNES;035;ILLE-ET-VILAINE;35300;35115;Fougères;;RUE PIERRE MENDES FRANCE;1;;9999;;PI;0350762N;N
53;BRETAGNE;14;RENNES;035;ILLE-ET-VILAINE;35300;35115;Fougères;;RUE VICTOR HUGO;1;;9999;;PI;0350762N;N
53;BRETAGNE;14;RENNES;035;ILLE-ET-VILAINE;35300;35115;Fougères;;RUELLE DES VAUX;1;;9999;;PI;0350762N;N
53;BRETAGNE;14;RENNES;035;ILLE-ET-VILAINE;35300;35115;Fougères;;RUELLE DES HARAS;1;;9999;;I;0350762N;N
53;BRETAGNE;14;RENNES;035;ILLE-ET-VILAINE;;35118;Gahard;;;;;;;;0351849V;O
53;BRETAGNE;14;RENNES;035;ILLE-ET-VILAINE;;35128;Guipel;;;;;;;;0352183H;O
53;BRETAGNE;14;RENNES;035;ILLE-ET-VILAINE;;35134;Les Iffs;;;;;;;;0350057X;O
53;BRETAGNE;14;RENNES;035;ILLE-ET-VILAINE;;35138;Laignelet;;;;;;;;0350967L;O
53;BRETAGNE;14;RENNES;035;ILLE-ET-VILAINE;;35150;Lécousse;;;;;;;;0350762N;O
53;BRETAGNE;14;RENNES;035;ILLE-ET-VILAINE;;35152;Liffré;;;;;;;;0351790F;O
53;BRETAGNE;14;RENNES;035;ILLE-ET-VILAINE;;35153;Lillemer;;;;;;;;0350708E;O
53;BRETAGNE;14;RENNES;035;ILLE-ET-VILAINE;;35161;Louvigné-de-Bais;;;;;;;;0352008T;O
53;BRETAGNE;14;RENNES;035;ILLE-ET-VILAINE;;35166;Marpiré;;;;;;;;0352448W;O
53;BRETAGNE;14;RENNES;035;ILLE-ET-VILAINE;;35167;Martigné-Ferchaud;;;;;;;;0351882F;O
