Annee_scolaire;Academie;Numero_d_etablissement;nom_etablissement;Type_d_etablissement;Secteur_d_enseignement;Nombre_d_eleves;libelle_region;libelle_departement;Code_departement;adresse;code_postal;localite_acheminement;Code_region
2017-2018;RENNES;0350892E;COLLEGE PRIVE STE JEANNE D'ARC;COLLEGE;Privé;435;BRETAGNE;ILLE-ET-VILAINE;035;13 place DE LA REPUBLIQUE;35503;VITRE CEDEX;53
2017-2018;RENNES;0350895H;COLLEGE ROSA PARKS;COLLEGE;Public;615;BRETAGNE;ILLE-ET-VILAINE;035;10  RUE DE GASCOGNE;35016;RENNES CEDEX;53
2017-2018;RENNES;0350896J;COLLEGE JEAN CHARCOT;COLLEGE;Public;370;BRETAGNE;ILLE-ET-VILAINE;035;28 rue LE POMELLEC;35400;ST MALO;53
2017-2018;RENNES;0350916F;COLLEGE DUGUAY-TROUIN;COLLEGE;Public;667;BRETAGNE;ILLE-ET-VILAINE;035;5 rue HENRI LEMARIE;35400;ST MALO;53
2017-2018;RENNES;0350933O;- -;LYCEE PROFESSIONNEL;Privé;53;BRETAGNE;ILLE-ET-VILAINE;035;-;-;-;53
2017-2018;RENNES;0351851X;COLLEGE LA BINQUENAIS;COLLEGE;Public;407;BRETAGNE;ILLE-ET-VILAINE;035;40 boulevard OSCAR LEROUX;35203;RENNES CEDEX 2;53
2017-2018;RENNES;0351906G;COLLEGE BOURGCHEVREUIL;COLLEGE;Public;656;BRETAGNE;ILLE-ET-VILAINE;035;1 boulevard DES METAIRIES;35513;CESSON SEVIGNE CEDEX;53
2017-2018;RENNES;0351969A;COLLEGE BEAUMONT;COLLEGE;Public;603;BRETAGNE;ILLE-ET-VILAINE;035;10 rue DU LYCEE;35605;REDON CEDEX;53
2017-2018;RENNES;0352069J;COLLEGE PRIVE ST VINCENT-PROVIDENCE;COLLEGE;Privé;876;BRETAGNE;ILLE-ET-VILAINE;035;57 rue DE PARIS;35064;RENNES CEDEX;53
2017-2018;RENNES;0352070K;COLLEGE PRIVE ASSOMPTION;COLLEGE;Privé;914;BRETAGNE;ILLE-ET-VILAINE;035;18 boulevard PAINLEVE;35702;RENNES CEDEX 7;53
2017-2018;RENNES;0352178C;ECOLE TECHNIQUE PRIVEE ASSOCIATION ODORICO;LYCEE PROFESSIONNEL;Privé;18;BRETAGNE;ILLE-ET-VILAINE;035;6  RUE DU MOULIN DU COMTE;35000;RENNES;53
2017-2018;RENNES;0352183H;COLLEGE MATHURIN MEHEUT;COLLEGE;Public;404;BRETAGNE;ILLE-ET-VILAINE;035;8 place BELLEVUE;35520;MELESSE;53
2017-2018;RENNES;0352304P;LYCEE GENERAL ET TECHNOLOGIQUE SEVIGNE;LYCEE ENSEIGNT GENERAL ET TECHNOLOGIQUE;Public;1240;BRETAGNE;ILLE-ET-VILAINE;035;2 RUE DE LA CHALOTAIS;35513;CESSON SEVIGNE CEDEX;53
2017-2018;RENNES;0352691K;COLLEGE ANDREE RECIPON;COLLEGE;Public;707;BRETAGNE;ILLE-ET-VILAINE;035;6 rue DE PONT-PEAN;35230;ORGERES;53
2016-2017;RENNES;0350003N;COLLEGE RENE CASSIN;COLLEGE;Public;421;BRETAGNE;ILLE-ET-VILAINE;035;56 rue DE ST MALO;35260;CANCALE;53
2016-2017;RENNES;0350021H;COLLEGE FRANCOIS BRUNE;COLLEGE;Public;264;BRETAGNE;ILLE-ET-VILAINE;035;21 RUE DU MONT ST MICHEL;35610;PLEINE FOUGERES;53
2016-2017;RENNES;0350022J;LYCEE GENERAL ET TECHNOLOGIQUE BEAUMONT;LYCEE ENSEIGNT GENERAL ET TECHNOLOGIQUE;Public;928;BRETAGNE;ILLE-ET-VILAINE;035;10 RUE DU LYCEE;35605;REDON CEDEX;53
2016-2017;RENNES;0350027P;COLLEGE LES GAYEULLES;COLLEGE;Public;514;BRETAGNE;ILLE-ET-VILAINE;035;140 boulevard DE VITRE;35703;RENNES CEDEX 7;53
2016-2017;RENNES;0350030T;LPO LYCEE DES METIERS PIERRE MENDES FRANCE;LYCEE POLYVALENT;Public;975;BRETAGNE;ILLE-ET-VILAINE;035;34 rue BAHON RAULT;35069;RENNES CEDEX;53
2016-2017;RENNES;0350050P;LP LYCEE DES METIERS BEL AIR;LYCEE PROFESSIONNEL;Public;302;BRETAGNE;ILLE-ET-VILAINE;035;7 rue ERNEST RENAN;35190;TINTENIAC;53
