Rentrée scolaire;Région académique;Académie;Département;Commune;Numéro du collège;Dénomination principale;Patronyme;Secteur;REP;REP +;Nombre d'élèves total (nombre d'élèves dans les formations du 1er cycle du 2nd degré et non du nombre total d'élèves inscrits dans l'établissement, les DIMA et les dispositifs-relais sont exclus);Nombre d'élèves total hors Segpa hors ULIS;Nombre d'élèves total Segpa;Nombre d'élèves total ULIS;Nombre total de 6èmes;Nombre de 6èmes hors Segpa hors ULIS;Nombre de 6èmes Segpa;Nombre de 6èmes ULIS;Nombre de 6èmes filles;Nombre de 6èmes garçons;Nombre de 6èmes LV1 allemand;Nombre de 6èmes LV1 anglais;Nombre de 6èmes LV1 espagnol;Nombre de 6èmes LV1 autres langues;Nombre de 6èmes LV2 allemand;Nombre de 6èmes LV2 anglais;Nombre de 6èmes LV2 espagnol;Nombre de 6èmes LV2 italien;Nombre de 6èmes LV2 autres langues;Nombre total de 5èmes;Nombre de 5èmes hors Segpa hors ULIS;Nombre de 5èmes Segpa;Nombre de 5èmes ULIS;Nombre de 5èmes filles;Nombre de 5èmes garçons;Nombre de 5èmes LV1 allemand;Nombre de 5èmes LV1 anglais;Nombre de 5èmes LV1 espagnol;Nombre de 5èmes LV1 autres langues;Nombre de 5èmes LV2 allemand;Nombre de 5èmes LV2 anglais;Nombre de 5èmes LV2 espagnol;Nombre de 5èmes LV2 italien;Nombre de 5èmes LV2 autres langues;Nombre total de 4èmes;Nombre de 4èmes hors Segpa hors ULIS;Nombre de 4èmes Segpa;Nombre de 4èmes ULIS;Nombre de 4èmes filles;Nombre de 4èmes garçons;Nombre de 4èmes LV1 allemand;Nombre de 4èmes LV1 anglais;Nombre de 4èmes LV1 espagnol;Nombre de 4èmes LV1 autres langues;Nombre de 4èmes LV2 allemand;Nombre de 4èmes LV2 anglais;Nombre de 4èmes LV2 espagnol;Nombre de 4èmes LV2 italien;Nombre de 4èmes LV2 autres langues;Nombre total de 3èmes;Nombre de 3èmes hors Segpa hors ULIS;Nombre de 3èmes Segpa;Nombre de 3èmes ULIS;Nombre de 3èmes filles;Nombre de 3èmes garçons;Nombre de 3èmes LV1 allemand;Nombre de 3èmes LV1 anglais;Nombre de 3èmes LV1 espagnol;Nombre de 3èmes LV1 autres langues;Nombre de 3èmes LV2 allemand;Nombre de 3èmes LV2 anglais;Nombre de 3èmes LV2 espagnol;Nombre de 3èmes LV2 italien;Nombre de 3èmes LV2 autres langues
2020;BRETAGNE;RENNES;ILLE-ET-VILAINE;BAIN-DE-BRETAGNE;0350970P;COLLEGE;LE CHENE VERT;PUBLIC;0;0;623;490;121;12;132;100;31;1;59;73;0;100;0;0;7;0;0;0;0;163;128;32;3;80;83;0;128;0;0;15;0;113;0;0;166;133;32;1;88;78;0;133;0;0;13;0;120;0;0;162;129;26;7;78;84;0;129;0;0;9;0;120;0;0
2020;BRETAGNE;RENNES;ILLE-ET-VILAINE;BETTON;0352260S;COLLEGE;FRANCOIS TRUFFAUT;PUBLIC;0;0;570;570;0;0;133;133;0;0;67;66;0;133;0;0;0;0;0;0;0;145;145;0;0;71;74;0;145;0;0;7;0;117;21;0;136;136;0;0;60;76;0;136;0;0;22;0;114;0;0;156;156;0;0;82;74;0;156;0;0;23;0;133;0;0
2020;BRETAGNE;RENNES;ILLE-ET-VILAINE;BREAL-SOUS-MONTFORT;0352958A;COLLEGE;FRANCOISE ÉLIE;PUBLIC;0;0;395;395;0;0;141;141;0;0;73;68;0;141;0;0;0;0;0;0;0;108;108;0;0;54;54;0;108;0;0;0;0;96;12;0;83;83;0;0;40;43;0;83;0;0;0;0;76;7;0;63;63;0;0;25;38;0;63;0;0;7;0;56;0;0
2020;BRETAGNE;RENNES;ILLE-ET-VILAINE;CHATEAUGIRON;0352248D;COLLEGE;VICTOR SEGALEN;PUBLIC;0;0;539;539;0;0;119;119;0;0;57;62;0;119;0;0;0;0;43;0;0;142;142;0;0;74;68;0;142;0;0;22;0;119;0;0;143;143;0;0;66;77;0;143;0;0;14;0;129;0;0;135;135;0;0;63;72;0;135;0;0;7;0;128;0;0
2020;BRETAGNE;RENNES;ILLE-ET-VILAINE;GUICHEN;0351881E;COLLEGE;NOEL DU FAIL;PUBLIC;0;0;768;760;0;8;192;189;0;3;97;95;25;133;0;31;0;56;0;0;0;201;197;0;4;97;104;25;140;0;32;0;57;140;0;0;189;188;0;1;86;103;22;139;0;0;5;49;130;4;0;186;186;0;0;88;98;39;147;0;0;0;39;122;25;0
2020;BRETAGNE;RENNES;ILLE-ET-VILAINE;MELESSE;0352183H;COLLEGE;MATHURIN MEHEUT;PUBLIC;0;0;429;429;0;0;116;116;0;0;65;51;0;116;0;0;0;0;0;0;0;100;100;0;0;48;52;0;100;0;0;9;0;69;22;0;111;111;0;0;52;59;0;111;0;0;13;0;86;12;0;102;102;0;0;54;48;0;102;0;0;15;0;57;30;0
2020;BRETAGNE;RENNES;ILLE-ET-VILAINE;MONTAUBAN-DE-BRETAGNE;0352247C;COLLEGE;EVARISTE GALOIS;PUBLIC;0;0;687;675;0;12;197;192;0;5;96;101;0;194;0;0;0;0;0;0;0;147;146;0;1;69;78;0;147;0;0;6;0;140;0;0;176;172;0;4;91;85;0;173;0;0;38;0;134;0;0;167;165;0;2;86;81;0;165;0;0;19;0;146;0;0
2020;BRETAGNE;RENNES;ILLE-ET-VILAINE;MORDELLES;0350874K;COLLEGE PRIVE;ST YVES;PRIVE;0;0;699;686;0;13;169;169;0;0;74;95;0;169;0;0;12;0;71;0;0;179;175;0;4;84;95;0;179;0;0;16;0;160;0;0;194;191;0;3;110;84;0;193;0;0;15;0;176;0;0;157;151;0;6;74;83;0;157;0;0;25;0;126;0;0
2020;BRETAGNE;RENNES;ILLE-ET-VILAINE;NOYAL-SUR-VILAINE;0352167R;COLLEGE;JACQUES BREL;PUBLIC;0;0;553;553;0;0;155;155;0;0;63;92;0;155;0;0;0;0;0;0;0;174;174;0;0;85;89;0;174;0;0;17;0;134;23;0;101;101;0;0;52;49;0;101;0;0;16;0;72;13;0;123;123;0;0;54;69;0;123;0;0;24;0;89;10;0
2020;BRETAGNE;RENNES;ILLE-ET-VILAINE;ORGERES;0352691K;COLLEGE;ANDREE RECIPON;PUBLIC;0;0;492;492;0;0;120;120;0;0;59;61;0;120;0;0;15;0;0;0;0;115;115;0;0;54;61;0;115;0;0;10;0;93;12;0;118;118;0;0;53;65;0;118;0;0;12;0;97;9;0;139;139;0;0;74;65;0;139;0;0;16;0;108;15;0
